迴路編號,uid,館舍,分區編號
L_NCU_9000000007,NCU_9000000007,學生男十三宿舍，七9h20,NCU_Z1
L_NCU_9000000008,NCU_9000000008,工五館(A、B棟),NCU_Z1
L_NCU_9000000012,NCU_9000000012,氣象觀測站,NCU_Z1
L_NCU_9000000014,NCU_9000000014,科一館,NCU_Z1
L_NCU_9000000015,NCU_9000000015,第1水塔,NCU_Z1
L_NCU_9000000016,NCU_9000000016,自來水3號水塔,NCU_Z1
L_NCU_9000000017,NCU_9000000017,雪楼能,NCU_Z1
L_NCU_9000000018,NCU_9000000018,雷達站,NCU_Z1
L_NCU_268561422,NCU_268561422,工四館一期(環化館),NCU_Z1
L_NCU_9000000021,NCU_9000000021,機電實驗室,NCU_Z1
L_NCU_9000000022,NCU_9000000022,風洞實驗室及品保中心,NCU_Z1
L_NCU_9000000023,NCU_9000000023,科思創研究中心,NCU_Z1
L_NCU_9000000024,NCU_9000000024,研究中心大樓二期,NCU_Z1
L_NCU_9000000025,NCU_9000000025,游泳池,NCU_Z1
L_NCU_9000000003,NCU_9000000003,垃圾集中處理場,NCU_Z1
L_NCU_9000000013,NCU_9000000013,產學營運中心,NCU_Z1
L_NCU_9000000019,NCU_9000000019,電機館,NCU_Z1
